case:concept:name,concept:name,time:timestamp
Case 1725,Assign seriousness,2012-01-23 11:15:33
Case 1725,Resolve ticket,2012-01-23 11:15:57
Case 1206,Assign seriousness,2011-03-03 14:28:56
Case 1206,Take in charge ticket,2011-03-03 14:29:37
Case 1206,Resolve ticket,2011-03-04 17:00:05
Case 1614,Assign seriousness,2011-03-10 15:05:06
Case 1614,Take in charge ticket,2011-03-11 09:25:32
Case 1614,Resolve ticket,2011-03-11 09:26:15
Case 996,Assign seriousness,2010-12-23 13:51:43
Case 996,Take in charge ticket,2010-12-27 08:09:54
Case 996,Resolve ticket,2011-01-14 09:31:54
Case 579,Assign seriousness,2011-02-15 13:52:41
Case 579,Take in charge ticket,2011-02-15 13:52:52
Case 579,Resolve ticket,2011-02-15 13:53:29
Case 1699,Assign seriousness,2011-11-30 11:50:45
Case 1699,Take in charge ticket,2011-12-02 16:32:42
Case 1699,Resolve ticket,2011-12-14 09:09:15
Case 1611,Assign seriousness,2011-06-21 15:02:21
Case 1611,Assign seriousness,2011-06-21 15:12:11
Case 1611,Take in charge ticket,2011-06-22 12:53:59
Case 1611,Resolve ticket,2011-06-22 12:54:10
Case 2748,Assign seriousness,2010-01-13 12:26:04
Case 2748,Take in charge ticket,2010-01-19 09:26:05
Case 2748,Resolve ticket,2010-01-19 09:28:50
Case 2963,Assign seriousness,2011-09-13 10:34:38
Case 2963,Take in charge ticket,2011-09-13 10:35:02
Case 2963,Resolve ticket,2011-09-14 15:09:21
Case 1814,Assign seriousness,2013-08-09 07:21:26
Case 1814,Take in charge ticket,2013-08-29 08:53:15
Case 1814,Wait,2013-09-04 10:03:28
Case 1814,Resolve ticket,2013-09-16 07:16:15
Case 2960,Assign seriousness,2012-03-29 09:29:38
Case 2960,Take in charge ticket,2012-03-29 09:29:47
Case 2960,Resolve ticket,2012-03-30 08:00:58
Case 799,Assign seriousness,2012-03-28 12:52:44
Case 799,Take in charge ticket,2012-03-28 13:12:39
Case 799,Wait,2012-04-13 07:24:41
Case 799,Resolve ticket,2012-04-30 07:20:58
Case 190,Assign seriousness,2011-02-21 15:36:25
Case 190,Take in charge ticket,2011-02-21 16:44:27
Case 190,Resolve ticket,2011-03-03 14:26:19
Case 972,Assign seriousness,2012-07-25 15:38:49
Case 972,Take in charge ticket,2012-07-26 08:16:10
Case 972,Resolve ticket,2012-07-30 12:07:10
Case 1244,Assign seriousness,2012-01-03 14:28:01
Case 1244,Take in charge ticket,2012-01-09 11:30:54
Case 1244,Resolve ticket,2012-01-09 11:34:14
Case 2756,Assign seriousness,2010-09-28 15:30:04
Case 2756,Take in charge ticket,2010-09-29 07:10:08
Case 2756,Resolve ticket,2010-09-29 07:10:31
Case 877,Assign seriousness,2012-05-24 09:42:53
Case 877,Take in charge ticket,2012-05-25 12:49:51
Case 877,Wait,2012-05-25 12:55:45
Case 877,Resolve ticket,2012-06-01 07:02:59
Case 1051,Assign seriousness,2010-12-27 08:06:01
Case 1051,Take in charge ticket,2010-12-27 14:46:09
Case 1051,Resolve ticket,2011-01-18 11:26:09
Case 2175,Assign seriousness,2010-07-01 07:29:35
Case 2175,Take in charge ticket,2010-07-30 08:02:53
Case 2175,Resolve ticket,2010-07-30 08:03:02
Case 1574,Assign seriousness,2013-02-27 10:16:25
Case 1574,Take in charge ticket,2013-03-04 11:26:58
Case 1574,Resolve ticket,2013-03-15 10:12:45
Case 1093,Assign seriousness,2012-01-13 16:27:38
